"Part";"Value";"Device";"Package";"Description";"DATASHEETURL";"FREQUENCY";"IMAX";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MKTG_PACKAGE";"NSID";"PACKAGE";"PROD_ID";"VALUE";"VENDOR";
"C1";"10u";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";
"C2";"3.3n";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";
"C3";"22u";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";
"D1";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";"";"";"";
"D2";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";"";"";"";
"D3";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";"";"";"";
"D4";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";"";"";"";
"D5";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";"";"";"";
"D6";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";"";"";"";
"D7";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";"";"";"";
"J1";"2X5";"2X5";"2X5";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"200mA/50V";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";"";"";"";"";"";"";"";"TRANS-00830";"200mA/50V";"";
"R1";"562k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R2";"180k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R3";"1k";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R4";"1k";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R5";"1k";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R6";"1k";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R7";"2k";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R8";"5.1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R9";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R10";"1k";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R14";"1k";"RESISTOR1206";"1206";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"S1";"SWITCH-MOMENTARY-2PTH";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"";"";"";" SWCH-08441";"";"";
"S2";"SWITCH-MOMENTARY-2PTH";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"";"";"";" SWCH-08441";"";"";
"S3";"SWITCH-MOMENTARY-2PTH";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"";"";"";" SWCH-08441";"";"";
"U1";"LMZ21700SILR";"LMZ21700SILR";"SIL0008B";"";"httpwww.ti.comproductlmz21700";"2500000.0";"0.65";"Texas Instruments";"LMZ21700SILR";"SYB08A";"LMZ21700SYBNOPB";"SYB08A";"";"";"Texas Instruments";
